Set,ID,Section,Type,Points,Text,Option_A,Option_B,Option_C,Option_D,CorrectIndex,Rubric
A,A_1,A,openEnded,8,"1. What is a transducer? Give one example from your Smart Garden circuit.",,,,,,"Award 8 pts for stating a transducer converts energy from one form to another (e.g. light to changing resistance), with a correct example such as the LDR or thermistor."
A,A_2,A,openEnded,8,2. What does LDR stand for and what physical condition does it sense?,,,,,,Award 8 pts for Light Dependent Resistor and that it senses light level (or light intensity).
A,A_3,A,openEnded,8,3. Describe what happens to an LDR's resistance when you completely cover it with your hand (blocking all light).,,,,,,Award 8 pts for stating the resistance increases significantly (becomes very high) because no light reaches the LDR.
A,A_4,A,openEnded,8,4. What does NTC stand for and what happens to an NTC Thermistor's resistance as temperature rises?,,,,,,Award 8 pts for Negative Temperature Coefficient and that resistance decreases (gets lower) as temperature increases.
A,A_5,A,openEnded,8,"5. In the LDR sensor circuit (LDR as R1 at the top, fixed resistor R2 at the bottom, Vin applied across both), where exactly is Vout measured?",,,,,,"Award 8 pts for stating Vout is measured at the middle junction point between the LDR and R2, across the fixed resistor R2."
A,A_6,B,mc,4,6. An LDR is placed in bright sunlight. What happens to its resistance?,Decreases significantly (becomes a better conductor),Increases significantly (blocks more current),Stays exactly the same,Doubles in value,0,Award 4 pts for Decreases significantly.
A,A_7,B,mc,4,7. What does NTC stand for in an NTC Thermistor?,Negative Temperature Coefficient,Normal Temperature Control,Neutral Thermal Conductor,Non-Triggering Component,0,Award 4 pts for Negative Temperature Coefficient.
A,A_8,B,mc,4,"8. In the LDR sensor circuit (R2=10kΩ fixed at bottom, Vin=7.4V) what happens to Vout as darkness falls?",Vout decreases (falls towards 0V),Vout increases (rises towards Vin),Vout stays constant regardless of light,Vout reverses polarity,0,Award 4 pts for Vout decreases.
A,A_9,B,mc,4,9. Which statement best describes a transducer?,A device that converts one form of energy into another,A component that stores electrical charge,A resistor that controls voltage only,A device that generates mains electricity,0,Award 4 pts for a device that converts one form of energy into another.
A,A_10,B,mc,4,10. In the Smart Garden sensor circuit where is the sensor signal (Vout) taken from?,Across the fixed resistor R2 at the middle junction,Across the battery terminals,Across the LDR directly,At the switch only,0,Award 4 pts for across the fixed resistor R2 at the middle junction.
B,B_1,A,openEnded,8,"1. Using Vout = (R2 / (RLDR + R2)) × Vin with R2=10kΩ and Vin=7.4V, calculate Vout when the LDR reads 120Ω (bright sunlight). Show all working.",,,,,,"Award 4 pts for correct substitution: Vout = (10000/(120+10000)) × 7.4. Award 4 pts for correct answer: (10000/10120) × 7.4 = 7.31V."
B,B_2,A,openEnded,8,"2. Using the same circuit (R2=10kΩ, Vin=7.4V), calculate Vout when the LDR reads 50kΩ (complete darkness). Show all working.",,,,,,"Award 4 pts for correct substitution: Vout = (10000/(50000+10000)) × 7.4. Award 4 pts for correct answer: (10000/60000) × 7.4 = 1.23V."
B,B_3,A,openEnded,8,"3. Explain the concept of a ""sensor signal"". In the LDR circuit what physical change makes Vout go up and what makes it go down?",,,,,,"Award 4 pts for explaining Vout is the sensor signal - a voltage that changes based on the LDR resistance. Award 4 pts for: more light → lower LDR resistance → higher Vout; less light/darkness → higher LDR resistance → lower Vout."
B,B_4,A,openEnded,8,"4. A Medellín garden reaches 12°C at night and 28°C during the day. The sensor uses an NTC Thermistor. Describe how the thermistor's resistance changes from the cold night to the warm day.",,,,,,"Award 4 pts for stating the thermistor has high resistance at cold 12°C (night). Award 4 pts for stating resistance decreases as temperature rises to 28°C because NTC thermistors have lower resistance at higher temperatures."
B,B_5,A,openEnded,8,"5. Calculate Vout for the LDR circuit (R2=10kΩ, Vin=7.4V) when the LDR reads 5kΩ (cloudy conditions). Show all working.",,,,,,"Award 4 pts for correct substitution: Vout = (10000/(5000+10000)) × 7.4. Award 4 pts for correct answer: (10000/15000) × 7.4 = 4.93V."
B,B_6,B,mc,4,"6. Comparing bright sunlight (LDR=120Ω) to darkness (LDR=50kΩ) with R2=10kΩ and Vin=7.4V which statement is correct?","Vout is higher in bright light (~7.31V) and lower in darkness (~1.23V)","Vout is lower in bright light and higher in darkness","Vout stays the same regardless of light level","Only current changes not Vout",0,"Award 4 pts for Vout higher in bright (~7.31V) and lower in darkness (~1.23V)."
B,B_7,B,mc,4,7. The threshold voltage in the Smart Garden is 0.6V. What happens when Vout drops below this value?,The transistor switches ON and triggers an alarm or action,The circuit completely stops working,Vout reverses and becomes negative,The battery disconnects automatically,0,Award 4 pts for the transistor switches ON.
