Set,ID,Section,Type,Points,Text,Option_A,Option_B,Option_C,Option_D,CorrectIndex,Rubric
A,A_1,A,openEnded,8,"1. What does the formula RT = R1 + R2 + R3 represent, and when does it apply?",,,,,,"Award 8 pts for stating it calculates total combined resistance and that it applies when resistors are connected in series (end-to-end in a chain)."
A,A_2,A,openEnded,8,2. In a series circuit what happens to the current as it flows from one resistor to the next?,,,,,,Award 8 pts for stating the current is the same/identical through all resistors in a series circuit.
A,A_3,A,openEnded,8,3. What is a Potential Divider? Describe it in your own words.,,,,,,Award 8 pts for describing two resistors in series across a supply voltage where the output voltage is taken from the junction/middle point between them.
A,A_4,A,openEnded,8,"4. Write the Potential Divider formula and identify what Vout, Vin, R1, and R2 each represent.",,,,,,Award 8 pts for Vout = (R2 / (R1 + R2)) x Vin with correct identification of all four variables: Vout = output voltage at the middle point; R1 and R2 = resistor values; Vin = supply voltage.
A,A_5,A,openEnded,8,5. Using the analogy from class explain what happens to Vout when R2 becomes much larger than R1 in a potential divider.,,,,,,Award 8 pts for explaining Vout increases (gets closer to Vin) because a larger R2 takes a bigger share/proportion of the supply voltage.
A,A_6,B,mc,4,6. When resistors are connected end-to-end in a chain they are called:,Resistors in Series,Resistors in Parallel,A Potential Divider,Kirchhoff Resistors,0,Award 4 pts for Resistors in Series.
A,A_7,B,mc,4,"7. Three resistors (100 ohms, 150 ohms, 250 ohms) are connected in series. What is the total resistance?",500 ohms,250 ohms,100 ohms,Not possible to calculate,0,Award 4 pts for 500 ohms (100+150+250=500).
A,A_8,B,mc,4,8. In a series circuit the voltage across each resistor:,Splits proportionally across each resistor depending on its value,Is the same for all resistors regardless of value,Adds up to zero around the circuit,Is equal for every resistor always,0,Award 4 pts for splits proportionally across each resistor.
A,A_9,B,mc,4,"9. In the potential divider formula Vout = (R2 / (R1 + R2)) x Vin, what does Vin represent?",The supply/input voltage,The output voltage at the middle point,The value of R2 alone,The total resistance of the circuit,0,Award 4 pts for the supply/input voltage.
A,A_10,B,mc,4,10. When two resistors are connected in parallel the total resistance is always:,Less than the smallest individual resistor,Greater than the largest individual resistor,Equal to the sum of both resistors,Equal to the average of both resistors,0,Award 4 pts for less than the smallest individual resistor.
B,B_1,A,openEnded,8,"1. Your Smart Garden uses R1=10k ohms and R2=18k ohms in series with a 7.4V supply. Calculate the total resistance and the current flowing through the circuit. Show all working.",,,,,,"Award 4 pts for Rtotal = 10000 + 18000 = 28000 ohms (28k ohms). Award 4 pts for I = 7.4 / 28000 = 0.000264A or approximately 0.264mA."
B,B_2,A,openEnded,8,"2. Using the potential divider formula, calculate Vout when R1=10k ohms, R2=18k ohms, and Vin=7.4V. Show all working.",,,,,,"Award 4 pts for correctly substituting into Vout = (18000/(10000+18000)) x 7.4. Award 4 pts for correct answer: Vout = (18/28) x 7.4 = 4.76V."
B,B_3,A,openEnded,8,"3. Two resistors (100 ohms and 120 ohms) are in parallel. Calculate the combined resistance. Show all steps.",,,,,,"Award 4 pts for writing the correct formula: RT = (R1 x R2) / (R1 + R2). Award 4 pts for correct answer: (100 x 120) / (100 + 120) = 12000 / 220 = 54.5 ohms."
B,B_4,A,openEnded,8,4. In a potential divider with Vin=7.4V if R1 equals R2 (both the same value) calculate Vout. Explain in one sentence why this result makes sense.,,,,,,Award 4 pts for Vout = (R/(R+R)) x 7.4 = 0.5 x 7.4 = 3.7V. Award 4 pts for explaining that equal resistors share the voltage equally so Vout is exactly half of Vin.
B,B_5,A,openEnded,8,5. Explain the difference between a series and a parallel circuit. For each state what happens to total resistance and to current behavior.,,,,,,Award 4 pts for series: total resistance increases (adds up); the same current flows through all components. Award 4 pts for parallel: total resistance decreases (less than smallest individual); current splits between branches.
B,B_6,B,mc,4,"6. R1=47 ohms, R2=100 ohms, R3=220 ohms are connected in series. The total resistance is:",367 ohms,220 ohms,47 ohms,170 ohms,0,Award 4 pts for 367 ohms (47+100+220=367).
B,B_7,B,mc,4,7. Two 100 ohm resistors are connected in parallel. The total resistance is:,50 ohms,100 ohms,200 ohms,0 ohms,0,Award 4 pts for 50 ohms. RT = (100x100)/(100+100) = 10000/200 = 50 ohms.
B,B_8,B,mc,4,8. In a potential divider R1=10k ohms and R2=4.7k ohms. A student increases R2 to 22k ohms. Vout will:,Increase (get closer to Vin),Decrease (get closer to 0V),Stay the same as before,Instantly equal Vin,0,Award 4 pts for Increase. Larger R2 takes a bigger share of Vin so Vout rises.
B,B_9,B,mc,4,"9. In the potential divider formula, which part of the expression directly determines what fraction of Vin appears at Vout?",R2 divided by the total resistance (R1 + R2),R1 alone,The total resistance (R1+R2) alone,Neither - only Vin matters,0,Award 4 pts for R2 divided by (R1+R2).
B,B_10,B,mc,4,"10. A student calculates a parallel resistance of 150 ohms for two resistors: 100 ohms and 120 ohms. This answer is:",Wrong - parallel resistance must always be less than 100 ohms,Correct,Wrong - the answer should be 220 ohms,Wrong - it should be the average of 110 ohms,0,Award 4 pts for Wrong - parallel resistance must always be less than the smallest individual resistor (100 ohms).
C,C_1,A,openEnded,8,"1. Design a potential divider to produce exactly 3.0V output from a 7.4V supply. Choose R2=10k ohms. Calculate the required R1 and select the nearest standard E12 value. Then verify by calculating the actual Vout.",,,,,,"Award 4 pts for rearranging formula: R1 = R2 x (Vin/Vout - 1) = 10000 x (7.4/3.0 - 1) = 10000 x 1.467 = 14670 ohms. Award 2 pts for selecting nearest E12 value: 15k ohms. Award 2 pts for verification: Vout = (10k/(15k+10k)) x 7.4 = 2.96V (close to 3.0V - acceptable)."
C,C_2,A,openEnded,8,"2. In the LDR light sensor circuit (R2=10k ohms, Vin=7.4V), the LDR reads 120 ohms in bright light and 50k ohms in darkness. Calculate Vout for both conditions. What does the changing voltage tell the circuit?",,,,,,"Award 2 pts for bright: Vout = (10k/(120+10k)) x 7.4 = 7.31V. Award 2 pts for dark: Vout = (10k/(50k+10k)) x 7.4 = 1.23V. Award 4 pts for: the changing voltage is the sensor signal - high Vout signals bright conditions and low Vout signals darkness which can trigger a transistor switch."
C,C_3,A,openEnded,8,"3. Three resistors R1=100 ohms, R2=150 ohms, R3=250 ohms are in series with a 7.4V supply. Calculate: a) total resistance, b) circuit current, c) voltage drop across R3 only.",,,,,,"Award 2 pts for Rtotal = 500 ohms. Award 3 pts for I = 7.4/500 = 0.0148A (14.8mA). Award 3 pts for VR3 = 0.0148 x 250 = 3.7V."
C,C_4,A,openEnded,8,"4. Explain why in a correctly functioning parallel circuit the combined resistance (e.g. 54.5 ohms) must always be less than the smallest individual resistor (e.g. 100 ohms). Use the checkout lanes analogy or your own analogy.",,,,,,"Award 8 pts for explaining that parallel paths give current more routes to flow reducing total opposition. Analogy must convey the idea of more paths = easier flow = lower total resistance. Must include a logical explanation not just a statement of the rule."
C,C_5,A,openEnded,8,"5. A potential divider has Vin=12V, R1=10k ohms, R2=18k ohms giving Vout=7.71V. A student swaps so R1=18k and R2=10k. Calculate the new Vout and explain why swapping the resistors changes the output.",,,,,,"Award 4 pts for new Vout = (10k/(18k+10k)) x 12 = (10/28) x 12 = 4.29V. Award 4 pts for: R2 determines what fraction of Vin appears at Vout. A smaller R2 gets a smaller share so Vout is lower when the smaller resistor occupies the R2 position."
C,C_6,B,mc,4,6. A potential divider circuit needs Vout to be exactly half of Vin. To achieve this R1 and R2 must be:,Equal in value to each other,R2 must be exactly double R1,R1 must be exactly double R2,R1 must be zero ohms,0,Award 4 pts for equal in value. When R1=R2 the fraction R2/(R1+R2) = 0.5 giving Vout = 0.5 x Vin.
C,C_7,B,mc,4,"7. In a series circuit with 7.4V and three resistors of 100 ohms, 150 ohms, and 250 ohms - which resistor has the largest voltage drop?",250 ohms - the largest resistor gets the largest share,100 ohms - the smallest resistor gets the largest share,All three have the same voltage drop,Cannot be determined without more information,0,Award 4 pts for 250 ohms. Voltage drop is proportional to resistance in a series circuit.
C,C_8,B,mc,4,"8. According to Kirchhoff's Voltage Law, in a series circuit with a 7.4V supply:",The voltage drops across all resistors must sum to exactly 7.4V,Each individual resistor receives the full 7.4V,Current equals voltage divided by the number of resistors,Voltage is always identical at every point in the circuit,0,Award 4 pts for: voltage drops across all resistors must sum to exactly 7.4V.
C,C_9,B,mc,4,9. A student adds a third resistor in parallel to two existing parallel resistors. The total resistance of the circuit will:,Decrease further (become even lower than before),Increase significantly,Stay exactly the same,Become equal to the new resistor's value,0,Award 4 pts for Decrease further. Each additional parallel path reduces total resistance.
C,C_10,B,mc,4,10. You need Vout = 2.4V from a 7.4V supply using a potential divider. Which ratio of R2/(R1+R2) is mathematically correct?,2.4 / 7.4 = 0.324,7.4 / 2.4 = 3.08,2.4 / (7.4 - 2.4) = 0.48,1 - (2.4/7.4) = 0.676,0,Award 4 pts for 2.4/7.4 = 0.324. The formula is Vout/Vin = R2/(R1+R2) so the ratio equals 2.4/7.4.
